BatchID;Strasse;Gesamtmenge Wirkstoff in kg;pH - Wert nach beendeter Regelung;Füllstand B4210 nach pH - Wert - Einstellung in L;Füllstand B4220 nach Transfer Lösung in L;pH - Wert nach beendeter Regelung Zitratpuffer;B4210 Standzeit Gereinigt in h;Druck während Isolierung in bar;Waschvolumen Zitratpuffer in L/kg;Netto Masse Kristallisat ohne GWP in g;Brutto Masse Kristallisat A4920/21/28 mit GWP in g;Netto Masse Kristallisat A4920/21/28  mit GWP in g;Füllstand B4210 vor Spülung in L;Füllstand B4210 nach Spülung in L;Füllstand B4210 nach Zitratwäsche in L;eingesetztes Waschvolumen Zitratpuffer in L;F4300 Standzeit sterilisiert in h;Trypsin Klasse;Füllstand B4220 nach pH - Wert - Einstellung in L;pH - Wert B4220 Start Kristallisation;pH - Wert B4220 Ende Kristallisation;Temperatur B4220 Start Kristallisation in °C;Temperatur B4220 Ende Kristallisation in °C;Mittelwert UV - Kurve;Rührerdrehzahl B4220 in U/min;Füllstand B4220 Ende Kristallisation in L;Filtrationsverhalten;pH-Wert Regelung Dauer [min];pH-Wert Regelung Dauer [min/kg];Dauer Lösen [min];Dauer Lösen [min/kg];Dauer bis Kristallisation einsetzt [min];Dauer bis Kristallisation einsetzt [min/kg];Kristallisation Dauer [min];Kristallisation Dauer [min/kg];Verweildauer kristallisiert bis Start Abtrennung [min];Verweildauer kristallisiert bis Start Abtrennung [min/kg];Abtrenndauer ohne Nachwaschen [min];Abtrenndauer ohne Nachwaschen [min/kg];Waschdauer mit Zitratpuffer [min];Waschdauer mit Zitratpuffer [min/kg];Gesamtdauer Start Lösen - Ende Waschen [min];Gesamtdauer Start Lösen - Ende Waschen [min/kg];ZnCl2 Konzentration [mM/L];NaCl Konzentration [mM/L];CTS Konzentration [mM/L];Ammoniumsulfat Konzentrazion [mM/L];Propanol-Konzentration in %;Produktüberführen Dauer [min];Produktüberführen Dauer [min/kg];Gesamte Abtrenndauer [min];Gesamte Abtrenndauer [min/kg]
GP210690A01;A;16,1;3,04;1209,0;1209,0;6,19;12,0;0,92;20,5;31543,0;52481,0;42347,0;444,0;386,0;56,0;330,0;22,0;Trypsin 3.0;1282,0;6,15;5,97;25,8;25,9;78,0;50,0;1282,0;139,0;20;1,24;172;10,68;8;0,5;1091;67,76;3;0,19;76;4,72;141;8,76;1511;93,85;2,77;6,29;4,8;9,24;5,94;0;0,0;217;13,48
GP210690B02;B;16,2;3,02;1217,0;1220,0;6,22;12,0;0,93;20,4;32348,0;52815,0;42653,0;449,0;392,0;60,0;331,0;21,0;Trypsin 3.0;1292,0;6,13;5,94;26,0;26,0;91,0;51,0;1281,0;45,5;13;0,8;162;10,0;9;0,56;1098;67,78;3;0,19;77;4,75;127;7,84;1489;91,91;2,79;6,33;4,84;9,31;6,02;0;0,0;204;12,59
GP210691A01;A;15,8;3,04;1181,0;1180,0;6,19;12,0;0,93;20,4;30892,0;51680,0;41549,0;451,0;393,0;70,0;323,0;22,0;Trypsin 3.0;1254,0;6,16;6,0;25,8;26,1;79,0;50,0;1256,0;119,5;22;1,39;170;10,76;11;0,7;1090;68,99;3;0,19;73;4,62;139;8,8;1508;95,44;2,79;6,35;4,82;9,28;5,99;0;0,0;212;13,42
GP210691B02;B;14,9;3,03;1116,0;1113,0;6,23;12,0;0,92;20,5;29922,0;49321,0;39161,0;419,0;361,0;55,0;306,0;21,0;Trypsin 3.0;1182,0;6,14;5,98;26,1;26,0;96,0;50,5;1177,0;120,5;15;1,01;159;10,67;23;1,54;1091;73,22;3;0,2;68;4,56;123;8,26;1482;99,46;2,8;6,32;4,84;9,32;5,99;0;0,0;191;12,82
GP210692A01;A;16,2;3,04;1212,0;1211,0;6,21;39,0;0,93;20,5;31383,0;52778,0;42617,0;453,0;394,0;63,0;332,0;46,0;Trypsin 3.0;1280,0;6,16;6,01;25,8;26,1;77,0;50,0;1283,0;144,0;21;1,3;167;10,31;5;0,31;1091;67,35;4;0,25;73;4,51;142;8,77;1503;92,78;2,81;6,35;4,83;9,3;6,01;0;0,0;215;13,27
GP210692C02;C;15,7;3,03;1189,0;1189,0;6,19;17,0;0,94;20,5;29995,0;51384,0;41300,0;458,0;399,0;77,0;321,0;22,0;Trypsin 3.0;1248,0;6,13;5,93;25,9;26,1;80,0;50,5;1251,0;84,0;20;1,27;155;9,87;9;0,57;1027;65,41;2;0,13;68;4,33;136;8,66;1417;90,25;2,8;6,24;4,81;9,24;5,94;0;0,0;204;12,99
GP210693A01;A;16,2;3,04;1217,0;1210,0;6,17;11,0;0,92;20,5;31927,0;52798,0;42615,0;452,0;395,0;63,0;331,0;22,0;Trypsin 3.0;1284,0;6,15;5,99;25,9;26,0;78,0;50,0;1285,0;128,0;19;1,17;178;10,99;6;0,37;1073;66,23;4;0,25;76;4,69;140;8,64;1496;92,35;2,79;6,31;4,82;9,28;6,0;0;0,0;216;13,33
GP210693B02;B;15,2;3,04;1147,0;1143,0;6,21;11,0;0,92;20,5;30391,0;50138,0;39976,0;432,0;374,0;63,0;311,0;24,0;Trypsin 3.0;1212,0;6,16;6,01;25,9;26,0;93,0;50,5;1204,0;141,5;21;1,38;239;15,72;4;0,26;1164;76,58;4;0,26;68;4,47;121;7,96;1621;106,64;2,79;6,34;4,84;9,29;6,01;0;0,0;189;12,43
GP210694A01;A;17,3;3,04;1290,0;1286,0;6,19;21,0;0,94;20,5;33214,0;55675,0;45510,0;473,0;415,0;61,0;354,0;25,0;Trypsin 3.0;1360,0;6,14;6,0;26,0;26,0;77,0;50,0;1361,0;165,0;22;1,27;244;14,1;17;0,98;1083;62,6;3;0,17;86;4,97;151;8,73;1606;92,83;2,83;6,37;4,87;9,35;6,01;0;0,0;237;13,7
GP210694B02;B;15,9;3,02;1202,0;1194,0;6,21;13,0;0,92;20,4;31453,0;51988,0;41854,0;445,0;387,0;62,0;325,0;25,0;Trypsin 3.0;1260,0;6,16;6,01;25,9;26,0;91,0;50,5;1256,0;84,3;28;1,76;228;14,34;26;1,64;1141;71,76;3;0,19;74;4,65;126;7,92;1626;102,26;2,79;6,34;4,85;9,33;5,99;0;0,0;200;12,58
GP220695A01;A;18,1;3,03;1350,0;1352,0;6,19;68,0;0,94;20,4;36516,0;57696,0;47511,0;489,0;431,0;61,0;370,0;80,0;Trypsin 4.0;1426,0;6,15;5,99;26,2;26,0;78,0;50,0;1426,0;75,6;26;1,44;379;20,94;31;1,71;1130;62,43;3;0,17;93;5,14;155;8,56;1817;100,39;2,81;6,35;4,86;9,34;6,0;0;0,0;248;13,7
GP220695B02;B;18,5;3,03;1382,0;1370,0;6,18;70,0;0,93;20,4;38764,0;58807,0;48646,0;498,0;440,0;63,0;377,0;24,0;Trypsin 4.0;1438,0;6,15;5,96;25,9;25,9;96,0;50,5;1433,0;135,0;30;1,62;227;12,27;30;1,62;1123;60,7;3;0,16;101;5,46;138;7,46;1652;89,3;2,86;6,47;4,95;9,51;6,09;0;0,0;239;12,92
